GeoName,2010,2011,2012,2013,2014,2015,2016,2017
United States*,14992052,15542582,16197007,16784851,17521747,18219297,18707189,19485394
Alabama,174753,181349.8,186299,191481,194059.7,200317.5,203354.7,211196.5
Alaska,52882.5,56259.9,57670.1,56622.8,55547.4,50636.1,49380.9,51479
Arizona,248210,257947.8,268288.8,275199.1,284573.8,297116.4,310928.9,326445.8
Arkansas,101690,106085.4,108745.2,114251.5,117339.1,118435.8,119947.3,122703.5
California,1974614.5,2050056.8,2144497.3,2262771.2,2396552.1,2557131.9,2665348.9,2797600.9
Colorado,255140.5,264431.6,273519.5,288305.2,306362,317977.9,328513.8,345233.1
Connecticut,237653.4,236523.7,243801,246632,248954.2,259776,263239.9,264509.9
Delaware,57447.4,60357.4,61975.8,60666.1,67178.9,70917.7,70484.1,72461.3
District of Columbia,106120.3,110076.2,112736.5,114891,119994.4,125434.6,130071.6,135768.3
Florida,737791.1,746787.5,769309.1,800704.1,839706,895004.2,938086.1,976385.5
Georgia,416883.8,429574,444132.2,460585.1,484915.4,513100.5,538360.6,563607.6
Hawaii,68196.9,70482.6,73582.7,75788.3,77972.5,82739.9,85648.1,88447.9
Idaho,55170.7,56488.1,57764.4,61017.7,63614.9,66273.6,69203.4,72294.2
Illinois,662637.8,688288.9,720702.3,739627.9,765910.2,791625.9,803680.2,822539.6
Indiana,280120.7,288749.1,297552.7,308681.7,325040.6,330026.5,338711,352272.7
Iowa,141482,147227,157250.8,160299.8,171512.5,177875.4,180179.3,183929.8
Kansas,127744.8,135315.3,140477.8,143220.7,148276.1,151679.9,155580.4,159108.2
Kentucky,164605.5,169940.7,176302.3,182359.2,186694.5,191916.4,195034.8,202174.9
Louisiana,225677,228987.5,233623.1,228967.4,237876.9,234440.9,227983.9,235960.2
Maine,51710.7,51866.7,52874,53719,55875.1,57515.1,59447.3,61702.8
Maryland,316451.5,328058.4,334821.6,341255.3,352524.3,367276.7,384376.8,399537.9
Massachusetts,409762.5,425593.2,444329.8,454345.7,473454.4,502816.9,519564.2,542978.8
Michigan,386625.9,401105.4,418857.4,432717.6,448964.4,473729.6,490185,508904.8
Minnesota,271821.2,283807.3,294296.6,306153,319338.9,328455,338364.2,350178.9
Mississippi,95208.4,96371.6,99614.6,101638.1,103658.1,105706.7,106848.6,109375.4
Missouri,258544.1,260093.5,268761.5,277851.1,284729.4,294750.3,295960.5,303763
Montana,38054.6,40579.3,42005.8,43141,44529.2,46100.7,45595.5,47079
Nebraska,91812.8,99613.4,102269,107604.3,111330.7,115269.6,116283.1,119587.5
Nevada,123598.1,126657.1,128043,130621.4,135026.5,144378.9,149739.6,158302.1
New Hampshire,64151.6,65430.5,67689.2,70181.9,72368.7,75892.9,78418.2,81649.7
New Jersey,495149,499114.9,519745.8,533686.7,546831.5,569391.3,582070.9,602069
New Mexico,83989.2,86625,87601.6,88411.2,92495.9,90849.4,90880,94210.7
New York,1213946.9,1236061.4,1322447.9,1355581.4,1427812.7,1488200.7,1540969.7,1606601.3
North Carolina,415206.4,427205.6,439571,455521.6,475227.2,503467.3,518384,540496.6
North Dakota,35426.3,41179.2,51345.1,53881.7,58547.4,54932.7,51099.2,52526.6
Ohio,497208.2,525388.4,540819.3,561045.5,593030,609633.9,620931.2,645746.9
Oklahoma,152911.4,165035.6,173483.7,182618.4,195689,185460.5,178969.9,188631.7
Oregon,163827.6,170621.3,174493.1,179382.7,189344.3,203173.3,215336.1,227154.5
Pennsylvania,599312.8,618987.7,641317.3,663900.8,690675.4,710040.5,724668.3,756268.5
Rhode Island,49571.8,50175.9,51642,53209.9,54573.3,56843.8,57860,59305.7
South Carolina,163856.8,170087.2,175374.8,183014.9,191967.4,203920.5,212460.2,221689.6
South Dakota,37484.4,41541.5,43444.6,44814.9,46057,47778.2,48492.9,49813.1
Tennessee,255935.8,267659.1,283721.8,292803.9,304150.4,322893.1,334618.1,349569.2
Texas,1237196.8,1331220.6,1411378.7,1502249.8,1565390.2,1568641.9,1565698.8,1645135.9
Utah,117960.5,124539.4,128721,134252.1,141342.9,149576.7,157474.7,164917
Vermont,27108.4,28135.1,28887.4,29098.8,29714.4,30672.9,31552.2,32545.2
Virginia,422902,432392.7,444950,455070,463781.7,484690.5,493699.5,510586.1
Washington,365551.9,379539,400863.3,419345,442442.4,469944,492251.4,524322.7
West Virginia,65274.1,68524.9,69399,71037.6,72027.1,70413.6,70191.4,74047.4
Wisconsin,254354.1,263881.6,274343.9,282384.6,293519.4,304763.9,312203.7,321373.3
Wyoming,37401.2,39370.7,38431.7,38922.5,39372.3,37764.1,35984.2,38036.8
New England,839958.3,857725.2,889223.3,907187.5,934940,983517.7,1010081.8,1042692.2
Mideast,2788427.9,2852655.9,2993044.9,3069981.2,3205017.2,3331261.6,3432641.4,3572706.4
Great Lakes,2080946.6,2167413.4,2252275.7,2324457.2,2426464.7,2509779.8,2565711.1,2650837.3
Plains,964315.6,1008777.1,1057845.4,1093825.6,1139792.1,1170741,1185959.6,1218907.1
Southeast,3239783.9,3324966,3431042.1,3537434.4,3671403.6,3844307,3958969.3,4117792.7
Southwest,1722307.3,1840829.1,1940752.8,2048478.5,2138148.8,2142068.3,2146477.6,2254424.1
Rocky Mountain,503727.4,525409.1,540442.4,565638.5,595221.2,617693,636771.6,667560.1
Far West,2748671.5,2853616.7,2979149.5,3124531.4,3296885.1,3508004,3657705,3847307.1