State,18 or Older population %,18 or Older population,"18 or Older % MI
Estimate","18 or Older MI
Estimate",Total Population,Total Poverty,People Below Poverty %,Total Labor Force 16 and over,Unemployment Civilian,Unemployment Civilian %,Total People,Total People without insurance,Total People without insurance %
Alabama,77.4,3747061,0.1995,747539,4841164,4720592,18.40163268,3864302,184479,3.810633145,4761291,4103942,86.19389153
Alaska,74.8,551168,0.2032,111997,736855,719064,10.12788848,568732,30139,4.090221278,712964,629346,88.2717781
Arizona,76.5,5147361,0.1802,927554,6728577,6573523,17.73228754,5290839,249972,3.715079726,6620233,5596124,84.53061999
Arkansas,76.4,2267913,0.2073,470138,2968472,2881404,18.82523242,2339307,93190,3.139325552,2915402,2568563,88.1032187
California,76.8,29686430,0.1818,5396993,38654206,37913144,15.83687441,30565746,1683726,4.355867509,38151997,33259469,87.17622042
Colorado,77.2,4137376,0.1986,821683,5359295,5241057,12.17193402,4245559,171695,3.203686306,5267878,4551152,86.39440777
Connecticut,78.9,2831382,0.1818,514745,3588570,3479672,10.3591373,2911925,155005,4.319408567,3535139,3072583,86.91547914
Delaware,78.5,733736,0.1865,136842,934695,908973,12.0408417,753039,33669,3.602137596,920268,790856,85.93757471
District of Columbia,82.3,542364,0.2117,114818,659009,624954,17.93091972,554780,33326,5.056987082,648263,547389,84.43934021
Florida,79.9,15927626,0.1754,2793706,19934451,19514334,16.08693384,16339299,802016,4.023266053,19621207,16644765,84.83048469
Georgia,75.6,7635086,0.1807,1379660,10099320,9829056,17.77275458,7882965,419113,4.149913063,9907239,8689985,87.7134891
Hawaii,78.4,1108320,0.1627,180324,1413673,1375928,10.79831212,1137804,38768,2.742359796,1362574,1168585,85.76304847
Idaho,74.0,1210257,0.2503,302927,1635483,1604369,15.2449343,1251275,48385,2.958453252,1614714,1407998,87.19798057
Illinois,77.1,9908648,0.1676,1660689,12851684,12548538,13.97558026,10206768,545635,4.245630378,12671738,11156806,88.04479701
Indiana,76.2,5021258,0.2090,1049443,6589578,6388926,14.98990597,5185793,228929,3.474107143,6490256,5693881,87.72968277
Iowa,76.7,2382754,0.1902,453200,3106589,3005808,12.30377988,2459591,75289,2.423526253,3062954,2665808,87.03388951
Kansas,75.4,2185312,0.1971,430725,2898292,2816191,13.25059273,2255916,79000,2.7257433,2839352,2495236,87.88047414
Kentucky,77.2,3406056,0.2229,759210,4411989,4275202,18.80938024,3511065,156509,3.547356986,4327357,3764513,86.99335414
Louisiana,76.2,3540001,0.1911,676494,4645670,4514625,19.70418363,3654913,168326,3.623287922,4542312,4020015,88.50151641
Maine,80.9,1075908,0.1901,204530,1329923,1294446,13.47333145,1101688,41620,3.12950449,1315603,1156438,87.90174544
Maryland,77.6,4624884,0.1694,783455,5959902,5819563,9.911998547,4764901,216086,3.625663643,5864892,5031581,85.79153717
Massachusetts,79.8,5380230,0.2057,1106713,6742143,6506029,11.38691512,5522235,252347,3.742830729,6665525,5675708,85.15020197
Michigan,77.9,7719578,0.1834,1415771,9909600,9683865,16.2648488,7953581,412934,4.167009768,9798384,8517294,86.9254971
Minnesota,76.7,4180816,0.1821,761327,5450868,5327019,10.83525326,4311636,145853,2.675775675,5392571,4710130,87.34479342
Mississippi,75.9,2268797,0.1904,431979,2989192,2893091,22.31360852,2338750,128840,4.310194862,2923887,2591806,88.64248174
Missouri,77.2,4678051,0.2005,937949,6059651,5876366,15.27738402,4823223,200143,3.302879984,5946094,5201433,87.47646775
Montana,78.2,800292,0.1978,158298,1023391,998314,14.89280928,822530,29382,2.871043423,1007946,877865,87.09444752
Nebraska,75.2,1414707,0.1788,252950,1881259,1827191,12.42459053,1463872,42544,2.261464264,1852809,1624887,87.69857012
Nevada,77.0,2186162,0.1887,412529,2839172,2798543,14.90979413,2248477,133525,4.70295565,2804116,2469071,88.05167119
New Hampshire,80.5,1068640,0.1915,204645,1327503,1285437,8.53328479,1094783,37727,2.841952146,1310949,1157014,88.25774305
New Jersey,77.8,6936225,0.1619,1122975,8915456,8739058,10.86319601,7143654,368870,4.137421574,8807899,7710955,87.54590624
New Mexico,76.4,1591159,0.1773,282112,2082669,2042014,20.90161968,1637594,81175,3.89764288,2048093,1805038,88.13261898
New York,78.8,15521596,0.1761,2733353,19697457,19186062,15.46729079,15964950,759224,3.854426488,19453583,16759476,86.15110132
North Carolina,77.3,7684260,0.1802,1384704,9940828,9685511,16.84685506,7907915,404584,4.069922546,9745671,8518088,87.40381242
North Dakota,76.7,564636,0.1830,103328,736162,710355,11.16540321,585370,11250,1.528196239,720312,627661,87.13737936
Ohio,77.5,8979879,0.1985,1782506,11586941,11267500,15.3790903,9255859,423956,3.658912219,11413979,10060145,88.13880768
Oklahoma,75.5,2926070,0.2002,585799,3875589,3760050,16.51986011,3025259,110120,2.841374563,3794815,3282887,86.50980351
Oregon,78.8,3138026,0.2359,740260,3982267,3905386,15.72758749,3219754,160797,4.037825691,3943363,3402433,86.28252078
Pennsylvania,79.1,10112126,0.1798,1818160,12783977,12369671,13.32098485,10402780,468440,3.664274427,12579598,10859476,86.32609723
Rhode Island,80.3,846756,0.1959,165880,1054491,1013916,13.82372899,868361,43600,4.134696266,1038432,898736,86.54740994
South Carolina,77.9,3766157,0.1856,698999,4834605,4693266,17.18253344,3871553,194454,4.022127971,4736274,4085977,86.26986108
South Dakota,75.4,641698,0.1770,113581,851058,822334,14.02106687,663635,18636,2.189745,833674,737953,88.51817377
Tennessee,77.4,5068159,0.1924,975114,6548009,6386751,17.22580072,5222438,238372,3.640373738,6445597,5622967,87.23733426
Texas,73.8,19893849,0.1632,3246676,26956435,26334005,16.69820827,20599223,848131,3.146302543,26478868,23511200,88.79231544
Utah,69.8,2058002,0.2347,483013,2948427,2901465,11.67713552,2136930,73114,2.479762938,2922538,2607723,89.22802715
Vermont,81.0,507262,0.1984,100641,626249,601538,11.58247692,520197,17087,2.728467431,620216,544611,87.80989204
Virginia,77.8,6465414,0.1878,1214205,8310301,8060892,11.43377185,6653111,255340,3.072572221,8096958,6981054,86.21823159
Washington,77.6,5488761,0.2281,1251986,7073146,6939622,12.72772494,5647697,244692,3.459450717,6967768,6046678,86.78070223
West Virginia,79.5,1467643,0.2289,335943,1846092,1792808,17.74088469,1509212,61215,3.315923583,1817156,1619594,89.12795599
Wisconsin,77.7,4471478,0.1854,829012,5754798,5603274,12.7331271,4603725,169426,2.944082486,5681891,4995136,87.9132669
Wyoming,76.3,444851,0.2025,90082,583029,568943,11.55862714,459198,15118,2.593009953,573538,502518,87.61721107